,condition,distance_between_original_user_in_percentage
ZjYXvEqDcfjxWVrEswN7,Calibration,3.3119074865699734
bKwVwxBt2WSAUdwM3151,Calibration,5.0501108709087825
bf3FizQI6x6Lur85AXza,Calibration,2.1421855722115115
cN0U1Kh3hsxy1SdCyZf2,Calibration,0.34341529050384356
eJxivuTvfpYeflinybqx,Calibration,3.7946069768052157
eLWw9O3r6A45qUublvCO,Calibration,3.5160037094411623
eMngmXaZfo9lC2Ih5DaP,Calibration,3.9299387978395997
emrrMR4DziAAukHiVNzh,Calibration,7.177906677216973
eov4DakrGMP2xsGvIJjj,Calibration,0.9695847954240913
fT8JiEvgIMiatyBo2AeJ,Calibration,2.5531658949404057
j94fv8excmDyObLE0wT9,Calibration,3.4648418239287224
jRDRq5GBv1QPzqLbijCZ,Calibration,0.0
lRoBmyseGONB9HMkUfCQ,Calibration,1.0779103654762345
pFXBYMYZ4lorxs5bFwOy,Calibration,0.33827336706261196
pKA6wvV5ARf6PB7ZpKCi,Calibration,2.2613065326633155
pko9X30hPnDycvk76iMT,Calibration,4.4154836591671796
sG2mNcKfNbsqazYI01zB,Calibration,3.0096031226787776
sNqGUkavEO4Ivv0IcHQH,Calibration,1.0688282921777397
uhy91Tp0Wtz3f2CNMr6B,Calibration,1.1911431765950662
ylBwtPCaSkXtaYIsd9mJ,Calibration,3.41778856935817
zK5YImdBgocljDGBFyP5,Calibration,4.448635161124118
zoLKBfEaCuufcnUMDf1n,Calibration,0.5011000083851532
00Zewx25ztZHmhyGcjRv,Calibration,3.752292513146448
04CZQMCKjI3HonKuiJ6k,Calibration,3.030581420098887
0vrJrpE0ydXpMelYQlVf,Calibration,2.367913569438289
2MFPNF7aSbgRslKzGLae,Calibration,9.062499999999996
2RNo26mpa8CFLeMpyWkE,Calibration,0.6708000788938525
3jnHaXwRIzbT4qPsK70j,Calibration,4.152093955324078
4j8DC7aJ6mA6CTL7cT1h,Calibration,3.631693401835714
4qrV2WNg1AWFrQDNjPA5,Calibration,2.0921659184009096
5vAiJybGEGkWFh62gXQM,Calibration,0.8554021402131051
6VuPtCNynRDxQmAk0o7X,Calibration,1.938387209271212
6rDfUzeOGtjFwtpa9xF4,Calibration,1.0290613355127245
83UZa6t7ibGqpHpmTaJG,Calibration,3.936760297671349
8gTBq2lUOlgUGkMDnOSd,Calibration,3.4419590816913317
A0GXcmf73FRsErPhgA6n,Calibration,4.74962140854146
BNKp7YedUS18p1USkYAm,Calibration,2.3096553559095003
CxUKSHhDNf0Nwm8LBehq,Calibration,4.592901914157862
DEONFLq9WsY7uksvqC1d,Calibration,5.887311545556242
EeWMFOFRkLZlQl7slBj3,Calibration,5.552124148786149
FrXxYrV7dEkav5lWRnu3,Calibration,4.184517250443352
GWWq4Wpy9Zev8uoIOZKi,Calibration,4.751928869226644
Hz2DXJCXA31dO9clMGHn,Calibration,4.184517250443358
